city_id,city_name,district_id,district_name,urban_id,urban_name,id,display_name,search_display_name,latitude,longitude
1,თბილისი,3,დიდუბე-ჩუღურეთი,25,კუკია,1640,ჩეჩელაშვილის 1 შესახვევი,ჩეჩელაშვილის 1 შესახვევი,41.713702,44.813521
1,თბილისი,3,დიდუბე-ჩუღურეთი,25,კუკია,1641,ჩეჩელაშვილის 2 შესახვევი,ჩეჩელაშვილის 2 შესახვევი,41.713628,44.811871
1,თბილისი,3,დიდუბე-ჩუღურეთი,25,კუკია,1642,ჩეჩელაშვილის 3 შესახვევი,ჩეჩელაშვილის 3 შესახვევი,41.713288,44.812032
1,თბილისი,1,გლდანი-ნაძალადევი,9,მუხიანი,9364,ჩიხორას I ჩიხ.,Chikhora I Dead End,41.782542,44.840356
1,თბილისი,1,გლდანი-ნაძალადევი,9,მუხიანი,9365,ჩიხორას II ჩიხ.,Chikhora II Dead End,41.783173,44.840542
1,თბილისი,6,ძველი თბილისი,66,მთაწმინდა,1646,ჩიტაძის ქ.,ჩიტაძის ქუჩა,41.694825,44.794711
1,თბილისი,1,გლდანი-ნაძალადევი,9,მუხიანი,9363,ჩიხორას ქ.,Chikhora St,41.782858,44.840777
1,თბილისი,3,დიდუბე-ჩუღურეთი,27,ჩუღურეთი,1647,ჩიქობავას ქ.,ჩიქობავას ქუჩა,41.706916,44.805357
1,თბილისი,6,ძველი თბილისი,62,ავლაბარი,1843,ხივის ჩიხი,ხივის ჩიხი,41.695897,44.816335
1,თბილისი,3,დიდუბე-ჩუღურეთი,25,კუკია,10026,ხონის ჩიხ.,ხონის ჩიხი,41.718763,44.814908
1,თბილისი,6,ძველი თბილისი,66,მთაწმინდა,1695,ცხემის ჩიხი,ცხემის ჩიხი,41.7001,44.791735
1,თბილისი,6,ძველი თბილისი,65,კრწანისი,1720,წალკის ჩიხი,წალკის ჩიხი,41.683893,44.819932
1,თბილისი,5,ისანი-სამგორი,56,ნავთლუღი,1749,წულაძის ჩიხი,წულაძის ჩიხი,41.6776,44.853941
1,თბილისი,6,ძველი თბილისი,61,აბანოთუბანი,1859,ხონელის ჩიხი,ხონელის ჩიხი,41.685857,44.814341
1,თბილისი,3,დიდუბე-ჩუღურეთი,27,ჩუღურეთი,12005,ძეგამის ჩიხ.,Zegani Dead End,41.706653,44.815045
1,თბილისი,6,ძველი თბილისი,66,მთაწმინდა,1801,ჭონქაძის ჩიხი,ჭონქაძის ჩიხი,41.693234,44.794648
1,თბილისი,6,ძველი თბილისი,64,ვერა,1893,ჯანაშიას ჩიხი,ჯანაშიას ჩიხი,41.707203,44.782069
1,თბილისი,5,ისანი-სამგორი,53,ისანი,1815,ხარაბაძის ჩიხი,ხარაბაძის ჩიხი,41.690829,44.852282
1,თბილისი,5,ისანი-სამგორი,53,ისანი,1717,წალენჯიხის ჩიხი,წალენჯიხის ჩიხი,41.688689,44.848622
1,თბილისი,6,ძველი თბილისი,62,ავლაბარი,1816,ხარაგაულის ჩიხი,ხარაგაულის ჩიხი,41.696019,44.814587
1,თბილისი,4,ვაკე-საბურთალო,47,საბურთალო,1649,ჩიქოვანი ს. ქ.,ჩიქოვანი ს. ქუჩა,41.715029,44.764136
1,თბილისი,4,ვაკე-საბურთალო,47,საბურთალო,6502,"ჩიქოვანი ვ, ქ.",Vakhtang Chikovani St,41.730796,44.752292
1,თბილისი,1,გლდანი-ნაძალადევი,8,ლოტკინი,1710,ძმობის 1 ჩიხი,ძმობის 1 ჩიხი,41.726683,44.807591
1,თბილისი,1,გლდანი-ნაძალადევი,12,სოფ. გლდანი,12752,წყაროს I ჩიხ.,Tskaro I Dead End,41.826283,44.829734
1,თბილისი,1,გლდანი-ნაძალადევი,12,სოფ. გლდანი,12756,წყაროს V ჩიხ.,Tskaro V Dead End,41.826812,44.837929
1,თბილისი,4,ვაკე-საბურთალო,38,ვაკე,1762,წყნეთის I ჩიხი,წყნეთის I ჩიხი,41.707754,44.736572
1,თბილისი,1,გლდანი-ნაძალადევი,1,ავჭალა,1806,ჭრებალოს 1 ჩიხი,ჭრებალოს 1 ჩიხი,41.823914,44.79005
1,თბილისი,1,გლდანი-ნაძალადევი,1,ავჭალა,1807,ჭრებალოს 2 ჩიხი,ჭრებალოს 2 ჩიხი,41.824052,44.7892
1,თბილისი,3,დიდუბე-ჩუღურეთი,27,ჩუღურეთი,2983,გ. ჩიტაიას ქ.,ул. Георгия Читаия,41.7133,44.803163
1,თბილისი,3,დიდუბე-ჩუღურეთი,27,ჩუღურეთი,3064,გ. ჩიტაიას ქ.,Giorgi Chitaia St,41.713839,44.802983
1,თბილისი,4,ვაკე-საბურთალო,30,დიღომი 1-9,4527,წებელდის I ჩიხ.,Tsebeldi I Dead End,41.815881,44.779773
1,თბილისი,4,ვაკე-საბურთალო,29,დიდი დიღომი,4913,ჭანდარის I ჩიხ.,Chandari I Dead End,41.792848,44.733848
1,თბილისი,1,გლდანი-ნაძალადევი,9,მუხიანი,6864,ჯვარისის I ჩიხ.,Jvarisi I Dead End,41.775171,44.850487
1,თბილისი,2,თბილისის შემოგარენი,18,ოქროყანა,7073,ციურიხის I ჩიხ.,Tsiurikhi I Dead End,41.688225,44.778812
1,თბილისი,2,თბილისის შემოგარენი,16,კიკეთი,7723,წერეთლის I ჩიხ.,Akaki Tsereteli I Dead End,41.647209,44.644855
1,თბილისი,1,გლდანი-ნაძალადევი,12,სოფ. გლდანი,12753,წყაროს II ჩიხ.,Tskaro II Dead End,41.826637,44.830771
1,თბილისი,1,გლდანი-ნაძალადევი,12,სოფ. გლდანი,12755,წყაროს IV ჩიხ.,Tskaro IV Dead End,41.827088,44.835181
1,თბილისი,1,გლდანი-ნაძალადევი,8,ლოტკინი,1729,წერონისის I ჩიხი,წერონისის I ჩიხი,41.735485,44.806513
