myhome_id,myhome_name,myhome_sub,ss_id,ss_name,ss_sub,score,method
"38493","გულუას ქ.","ორთაჭალა","305","გულიას ქ.","ორთაჭალა",80,SubDistrict
"1260","რჩეულიშვილი გურამის II ჩიხი","ვერა","938","რჩეულიშვილის ქ.","ვერა",100,SubDistrict
"1262","რჩეულიშვილი გურამის IV ჩიხი","ვერა","938","რჩეულიშვილის ქ.","ვერა",100,SubDistrict
"1261","რჩეულიშვილი გურამის III ჩიხი","ვერა","938","რჩეულიშვილის ქ.","ვერა",100,SubDistrict
"502","იეთიმ გურჯის I შესახვევი","აბანოთუბანი","1050","იეთიმ გურჯის ქ.","სოლოლაკი",100,District
"404","დავით გურამიშვილის გამზირი #1-23, 10-48","ნაძალადევი","909","გ.იმედაშვილის ქ.","ვერა",100,Geospatial
"21987","ინოლა გურგულიას ქ.","ვერა","2645","ი. გურგულიას ქ.","ვერა",100,SubDistrict
"1258","გურამ რჩეულიშვილის ქ.","ვერა","938","რჩეულიშვილის ქ.","ვერა",100,SubDistrict
"2429","ილია და ნინო ნაკაშიძეების ქ.","სოლოლაკი","1050","იეთიმ გურჯის ქ.","სოლოლაკი",100,Geospatial
"1146","ნუცუბიძის ქუჩა # 64 და ზემოთ, #79 და ზემოთ","საბურთალო","1168","ნათია ბაშალეიშვილის ქ.","ვერა",100,Geospatial
"1284","სალია ნინო და კალისტრატეს ქ.","სვანეთის უბანი","1469","ნინო და კალისტრატე სალიების ქუჩა","სვანეთის უბანი",94,SubDistrict
"1155","ორბელების ი. და დ. ქუჩა; შესახვევი","ისანი","345","ძმ. ორბელების ქ.","ისანი",82,SubDistrict
"1472","ფიფიების ეგნატე და ვახტანგის ქ.","დიდუბე","1450","ეგნატე და ვახტანგ ფიფიების ქუჩა","დიდუბე",100,SubDistrict
"6332","უბილავა ე. და ვ. ქ.","ისანი","874","უბილავას ქ.","ავლაბარი",100,Global
"9983","წერეთელი კ. და ს. ქ.","ჩუღურეთი","617","ხორნაბუჯის ქ.","სანზონა",100,Geospatial
"1800","ჭონქაძის ქუჩა #20 და ზემოთ","მთაწმინდა","3","ლ.მიქელაძის ქ.","ვაკე",100,Geospatial
"21997","ქართველთა და ებრაელთა ძმობის ქ.","გლდანი","395","II მიკრორაიონი - გლდანი","გლდანი",100,Geospatial
"2752","დავარის ქ.","დიდი დიღომი","1259","დავარის ქ.","დიდი დიღომი",100,SubDistrict
"430","დარიალის ქ.","ვაკე","11","დარიალის ქ.","ვაკე",100,SubDistrict
"3104","დადიანის ქ.","ნაძალადევი","1564","ა.დადიანის ქ.","სამგორი",100,Global
"424","დავითაიას ქ.","ვაზისუბანი","1199","თეოფანე დავითაიას ქ.","ვაზისუბანი",100,SubDistrict
